Date,Close,High,Low,Open,Volume
1980-06-02,1.086591124534607,1.094085117918856,1.086591124534607,0.0,118800
1980-06-03,1.1015790700912476,1.1015790700912476,1.0865915597144198,0.0,141750
1980-06-04,1.1015790700912476,1.1015790700912476,1.0940855561000138,0.0,102600
1980-06-05,1.1090724468231201,1.1090724468231201,1.094085039995067,0.0,575100
1980-06-06,1.0940853357315063,1.1165662590926329,1.0940853357315063,0.0,88425
1980-06-09,1.1015790700912476,1.1090729699979696,1.0940855561000138,0.0,151875
1980-06-10,1.1315536499023438,1.1315536499023438,1.0940853163265438,0.0,238275
1980-06-11,1.1765153408050537,1.1765153408050537,1.124059436379472,0.0,154575
1980-06-12,1.1989972591400146,1.213984666991965,1.1765158579255899,0.0,213300
1980-06-13,1.2139840126037598,1.2364654016997747,1.2064901197596405,0.0,369225
1980-06-16,1.2214787006378174,1.2214787006378174,1.1989973933851181,0.0,509625
1980-06-17,1.2139840126037598,1.2439589086287697,1.1915026235077448,0.0,168750
1980-06-18,1.2064900398254395,1.213983932173062,1.1915025445665182,0.0,293625
1980-06-19,1.1915032863616943,1.2064907909513987,1.1840097752639291,0.0,53325
1980-06-20,1.1989972591400146,1.213984666991965,1.1840097548092312,0.0,71550
1980-06-23,1.2064900398254395,1.221477824520685,1.1915025445665182,0.0,24975
1980-06-24,1.2064900398254395,1.2064900398254395,1.1840090381339943,0.0,147825
1980-06-25,1.1915032863616943,1.213984687964503,1.1915032863616943,0.0,123525
1980-06-26,1.1615276336669922,1.1840090209472018,1.1540341273432422,0.0,114750
1980-06-27,1.1615276336669922,1.1765151287083586,1.1540341273432422,0.0,109350
1980-06-30,1.146540641784668,1.1615280456633232,1.131553141427205,0.0,108000
1980-07-01,1.1840100288391113,1.1915035415417352,1.1465412111008708,0.0,150525
1980-07-02,1.1765153408050537,1.1765153408050537,1.161527843061811,0.0,43875
1980-07-03,1.2139840126037598,1.2139840126037598,1.1765152237346306,0.0,56700
1980-07-07,1.2214787006378174,1.236466206646669,1.206490905192434,0.0,111375
1980-07-08,1.1989972591400146,1.2064907701083236,1.1915032657775402,0.0,110700
1980-07-09,1.2139840126037598,1.2289714123768742,1.1989966128306455,0.0,33075
1980-07-10,1.1765153408050537,1.1915027420695055,1.1765153408050537,0.0,70200
1980-07-11,1.1615276336669922,1.1690216223846086,1.1390467287806492,0.0,1334475
1980-07-14,1.1915032863616943,1.1989972798536335,1.1390474544524858,0.0,256500
1980-07-15,1.1765153408050537,1.1989967321381036,1.1690218331304092,0.0,366525
1980-07-16,1.1989972591400146,1.1989972591400146,1.169022346957281,0.0,264600
1980-07-17,1.1915032863616943,1.1989972798536335,1.1840097752639291,0.0,91125
1980-07-18,1.2064900398254395,1.2064900398254395,1.1840090381339943,0.0,193725
1980-07-21,1.1989972591400146,1.2064907701083236,1.1915032657775402,0.0,44550
1980-07-22,1.1915032863616943,1.2064907909513987,1.1840097752639291,0.0,284850
1980-07-23,1.1840100288391113,1.1840100288391113,1.1615286224215404,0.0,141750
1980-07-24,1.1765153408050537,1.1915027420695055,1.1690218331304092,0.0,168750
1980-07-25,1.1840100288391113,1.1989975366386365,1.1765161302210656,0.0,58725
1980-07-28,1.1765153408050537,1.184009234394861,1.1690218331304092,0.0,58050
1980-07-29,1.1840100288391113,1.1840100288391113,1.1765161302210656,0.0,39825
1980-07-30,1.1915032863616943,1.1989972798536335,1.1840097752639291,0.0,452925
1980-07-31,1.1765153408050537,1.1915027420695055,1.1690218331304092,0.0,117450
1980-08-01,1.1615276336669922,1.1765151287083586,1.1540341273432422,0.0,112725
1980-08-04,1.1840100288391113,1.1840100288391113,1.1615286224215404,0.0,80325
1980-08-05,1.1765153408050537,1.1915027420695055,1.1765153408050537,0.0,74925
1980-08-06,1.1690218448638916,1.1690218448638916,1.1540343469702194,0.0,104625
1980-08-07,1.1690218448638916,1.1690218448638916,1.1465404533051957,0.0,139725
1980-08-08,1.1915032863616943,1.1989972798536335,1.1840097752639291,0.0,342900
1980-08-11,1.1840100288391113,1.1989975366386365,1.1840100288391113,0.0,56025
1980-08-12,1.1840100288391113,1.1915035415417352,1.1765161302210656,0.0,97200
1980-08-13,1.1989972591400146,1.2064907701083236,1.1765158579255899,0.0,340200
1980-08-14,1.1915032863616943,1.1915032863616943,1.1840097752639291,0.0,72225
1980-08-15,1.2139840126037598,1.2139840126037598,1.1915026235077448,0.0,178875
1980-08-18,1.2064900398254395,1.213983932173062,1.1915025445665182,0.0,71550
1980-08-19,1.2064900398254395,1.2064900398254395,1.1840090381339943,0.0,68175
1980-08-20,1.1915032863616943,1.213984687964503,1.1915032863616943,0.0,56700
1980-08-21,1.1989972591400146,1.2064907701083236,1.1915032657775402,0.0,238950
1980-08-22,1.1989972591400146,1.2064907701083236,1.1840097548092312,0.0,122175
1980-08-25,1.1915032863616943,1.1989972798536335,1.1840097752639291,0.0,37800
1980-08-26,1.1840100288391113,1.2064910493412604,1.1840100288391113,0.0,89100
1980-08-27,1.1915032863616943,1.1989972798536335,1.1840097752639291,0.0,87750
1980-08-28,1.1765153408050537,1.1915027420695055,1.1765153408050537,0.0,87750
1980-08-29,1.154034972190857,1.1765159900139097,1.1465410744658702,0.0,109350
1980-09-02,1.1615276336669922,1.1690216223846086,1.1540341273432422,0.0,43875
1980-09-03,1.1690218448638916,1.1690218448638916,1.1465404533051957,0.0,133650
1980-09-04,1.1615276336669922,1.1915025272709516,1.1615276336669922,0.0,188325
1980-09-05,1.154034972190857,1.1690224782042988,1.1465410744658702,0.0,136350
1980-09-08,1.1615276336669922,1.1765151287083586,1.146540235104399,0.0,999000
1980-09-09,1.1690218448638916,1.1840092462787721,1.1540343469702194,0.0,84375
